name,coe,unit,departmentname,announcementyear
伸縮膜(LLDPE),3.69,公斤(kg),環境部,2023
苯乙烯-乙烯/丁烯-苯乙烯熱塑性彈性體,4.74,公斤(kg),環境部,2023
標籤紙(PET),0.0135,張,環境部,2023
高密度聚乙烯(HDPE),2.21,公斤(kg),環境部,2023
聚丙烯(PP),1.95,公斤(kg),環境部,2023
紙棧板,1.01,公斤(kg),環境部,2023
角紙,1.02,公斤(kg),環境部,2023
裱面紙板,1.6,公斤(kg),環境部,2023
瓦楞芯紙,0.988,公斤(kg),環境部,2023
牛皮紙,1.22,公斤(kg),環境部,2023
瓦楞紙板(B楞),0.813,公斤(kg),環境部,2023
瓦楞紙板(A楞),1.06,公斤(kg),環境部,2023
瓦楞紙板(AB楞),1.3,公斤(kg),環境部,2023
單層瓦楞紙箱(加權平均),1.1,平方公尺(m2),環境部,2023
單層瓦楞紙箱(B楞，貼箱),1.03,平方公尺(m2),環境部,2023
單層瓦楞紙箱(B楞，釘箱),0.895,平方公尺(m2),環境部,2023
單層瓦楞紙箱(A楞，貼箱),1.11,平方公尺(m2),環境部,2023
單層瓦楞紙箱(A楞，釘箱),1.21,平方公尺(m2),環境部,2023
雙層瓦楞紙箱(AB楞，加權平均),1.46,平方公尺(m2),環境部,2023
雙層瓦楞紙箱(AB楞，貼箱),1.33,平方公尺(m2),環境部,2023
雙層瓦楞紙箱(AB楞，釘箱),1.69,平方公尺(m2),環境部,2023
濃硫酸,0.289,公斤(kg),環境部,2023
偏矽酸鈉,0.887,公斤(kg),環境部,2023
AOS界面活性劑,1.4,公斤(kg),環境部,2023
硫酸酯鹽界面活性劑,1.06,公斤(kg),環境部,2023
焊帶(太陽光電模組材料),12,公斤(kg),經濟部標準檢驗局,2023
單結晶矽電池太陽光電模組(60片6吋)-半切割型(120子片),377,片,經濟部標準檢驗局,2023
太陽光電電場發電,0.00961,度(kwh),經濟部標準檢驗局,2023
潤滑油(未燃燒，2021),1.09,公斤(kg),環境部,2023
煤油(未燃燒，2021),0.353,公升(L),環境部,2023
煤油使用(2021),2.91,公升(L),環境部,2023
液化石油氣(未燃燒，2021),0.453,公升(L),環境部,2023
液化石油氣(於固定源使用，2021),2.21,公升(L),環境部,2023
天然氣(於固定源使用，2021),2.63,立方公尺(m3),環境部,2023
天然氣(未燃燒，2021),0.519,立方公尺(m3),環境部,2023
車用汽油(於移動源使用，2021),2.92,公升(L),環境部,2023
車用汽油(於固定源使用，2021),2.88,公升(L),環境部,2023
車用汽油(未燃燒，2021),0.604,公升(L),環境部,2023
柴油(於捕撈移動源使用，2021),3.29,公升(L),環境部,2023
柴油(於水路運輸移動源使用，2021),3.3,公升(L),環境部,2023
柴油(於鐵路運輸與非道路運輸移動源使用，2021),3.56,公升(L),環境部,2023
柴油(於公路運輸移動源使用，2021),3.32,公升(L),環境部,2023
柴油(於固定源使用，2021),3.29,公升(L),環境部,2023
柴油(未燃燒，2021),0.673,公升(L),環境部,2023
燃料油未燃燒(蒸餘油/重油未燃燒，2021),0.764,公升(L),環境部,2023
燃料油使用(蒸餘油/重油使用，2021),3.88,公升(L),環境部,2023
電力間接碳足跡(2021),0.0973,度(kwh),環境部,2023
電力碳足跡(2021),0.606,度(kwh),環境部,2023
臺北自來水(2020),0.0948,立方公尺(m3),環境部,2022
臺灣自來水(2020),0.233,立方公尺(m3),環境部,2022
國際海運貨物運輸服務(本國籍貨櫃船，歐美長程航線),0.0649,每個20呎標準貨櫃-每公里(TEU-km),環境部,2022
營業小貨車(汽油),0.683,延噸公里(tkm),環境部,2022
營業小貨車(柴油),0.587,延噸公里(tkm),環境部,2022
營業大貨車(柴油),0.131,延噸公里(tkm),環境部,2022
乙二醇,1.81,公斤(kg),環境部,2022
通用級聚苯乙烯(GPPS),2.74,公斤(kg),環境部,2022
氯乙烯單體(VCM),2.26,公斤(kg),環境部,2022
對苯二甲酸(PTA),1.87,公斤(kg),環境部,2022
聚對苯二甲酸乙二酯(PET),2.74,公斤(kg),環境部,2022
太陽能LED燈具,447,盞,環境部,2022
甘蔗吸管,0.00478,支,環境部,2022
PET隔熱膜(2019),9.76,平方公尺(m2),環境部,2022
PET隔熱膜(2017),17.1,平方公尺(m2),環境部,2022
團體膳食服務(不區分供應的對象) (2019),1.29,每人每餐,環境部,2022
團體膳食服務(不區分供應的對象) (2018),3.97,每人每餐,環境部,2022
氟化鈣污泥處理服務(物理處理),336,公噸(mt),中聯資源股份有限公司,2022
人造螢石(太空袋裝),584,袋,中聯資源股份有限公司,2022
鋁錠(散裝),189,公噸(mt),中聯資源股份有限公司,2022
鋁錐(太空袋裝),724,袋,中聯資源股份有限公司,2022
礦物細料(石灰質細料，散裝),32.4,公噸(mt),中聯資源股份有限公司,2022
鐵渣(煤灰礦泥拌合料，散裝),4.61,公噸(mt),中聯資源股份有限公司,2022
轉爐石細料(散裝),14.8,公噸(mt),中聯資源股份有限公司,2022
瀝青鋪面用粒料(散裝),9.56,公噸(mt),中聯資源股份有限公司,2022
氣冷高爐石級配料(散裝),4.98,公噸(mt),中聯資源股份有限公司,2022
氣冷轉爐石級配料(散裝),5.77,公噸(mt),中聯資源股份有限公司,2022
地質改良處理劑(50公斤，紙袋裝),18.2,包,中聯資源股份有限公司,2022
地質改良處理劑(太空袋裝),363,袋,中聯資源股份有限公司,2022
地質改良處理劑(散裝),359,公噸(mt),中聯資源股份有限公司,2022
新型高爐水泥(50公斤，紙袋裝),25.6,包,中聯資源股份有限公司,2022
卜特蘭高爐爐碴水泥(太空袋裝),573,袋,中聯資源股份有限公司,2022
卜特蘭高爐爐碴水泥(散裝),604,公噸(mt),中聯資源股份有限公司,2022
飛灰爐石粉(散裝),46.8,公噸(mt),中聯資源股份有限公司,2022
混凝土及水泥砂漿用水淬高爐爐碴粉(太空袋裝),59.3,袋,中聯資源股份有限公司,2022
混凝土及水泥砂漿用水淬高爐爐碴粉(散裝，含轉運),61.3,公噸(mt),中聯資源股份有限公司,2022
混凝土及水泥砂漿用水淬高爐爐碴粉(散裝，不含轉運),58.9,公噸(mt),中聯資源股份有限公司,2022
預拌混凝土(350kgf/cm2，飛灰爐石替代率50％),244,立方公尺(m3),亞東預拌混凝土股份有限公司,2022
預拌混凝土(350kgf/cm2，飛灰爐石替代率30％),341,立方公尺(m3),亞東預拌混凝土股份有限公司,2022
預拌混凝土(280kgf/cm2，飛灰爐石替代率50％),214,立方公尺(m3),亞東預拌混凝土股份有限公司,2022
預拌混凝土(280kgf/cm2，飛灰爐石替代率30％),301,立方公尺(m3),亞東預拌混凝土股份有限公司,2022
精製細砂(25公斤),28.9,公斤(kg),台灣糖業股份有限公司小港廠,2022
精製特砂(50公斤),57.7,公斤(kg),台灣糖業股份有限公司小港廠,2022
精製特砂(25公斤),28.9,公斤(kg),台灣糖業股份有限公司小港廠,2022
精製二砂(25公斤),28.9,公斤(kg),台灣糖業股份有限公司小港廠,2022
轉化液糖(20公噸),23800,公噸(mt),台灣糖業股份有限公司小港廠,2022
